distance, x, y
31, 400, 417
41, 317, 325
51, 250, 258
61, 200, 213
70, 169, 171
80, 153, 151
90, 139, 138
100, 131, 127
110, 115, 116
120, 112, 112
130, 99, 100
140, 93, 93
150, 86, 86
160, 80, 79
170, 76, 75
180, 70, 69
190, 65, 66
200, 62, 61
